"EXERCÍCIO";"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO SUBORDINADO";"NOME ÓRGÃO SUBORDINADO";"CÓDIGO UNIDADE ORÇAMENTÁRIA";"NOME UNIDADE ORÇAMENTÁRIA";"CÓDIGO FUNÇÃO";"NOME FUNÇÃO";"CÓDIGO SUBFUNÇÃO";"NOME SUBFUNÇÃO";"CÓDIGO PROGRAMA ORÇAMENTÁRIO";"NOME PROGRAMA ORÇAMENTÁRIO";"CÓDIGO AÇÃO";"NOME AÇÃO";"CÓDIGO CATEGORIA ECONÔMICA";"NOME CATEGORIA ECONÔMICA";"CÓDIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CÓDIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORÇAMENTO INICIAL (R$)";"ORÇAMENTO ATUALIZADO (R$)";"ORÇAMENTO EMPENHADO (R$)";"ORÇAMENTO REALIZADO (R$)";"% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)"
"2025";"13000";"Justiça Militar";"13000";"Justiça Militar - Unidades com vínculo direto";"13101";"JUSTICA MILITAR";"02";"Judiciária";"061";"Ação judiciária";"0033";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO";"4225";"PROCESSAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA MILITAR DA UNIAO";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0,00";"0,00";"25311,65";"14990,36";"0,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"1149";"RECONSTRUCAO, AMPLIACAO E APROFUNDAMENTO DA PARTICIPACAO SOC";"216X";"FUNCIONAMENTO DOS CONSELHOS E COMISSOES DA PRESIDENCIA DA REPUBLICA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"33";"Passagens e Despesas com Locomoção";"3696505,97";"3696505,97";"3556144,57";"2258681,26";"61,10%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"131";"Comunicação social";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2017";"COMUNICACAO INSTITUCIONAL";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"00";"Não informado";"-1000000,00";"0,00";"0,00";"0,00";"0,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"28";"Encargos especiais";"846";"Outros encargos especiais";"0910";"OPERACOES ESPECIAIS: GESTAO DA PARTICIPACAO EM ORGANISMOS E";"00W7";"CONTRIBUICAO A ORGANIZACAO DOS ESTADOS IBERO-AMERICANOS PARA A EDUCACAO, A CIENCIA E A CULTURA (OEI) PARA REALIZACAO DE ATIVIDADES DE PROMOCAO DO DIALOGO E DA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"-4419739,00";"36819,00";"0,00";"0,00";"0,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20118";"AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN";"06";"Segurança pública";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20TP";"ATIVOS CIVIS DA UNIAO";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"12";"Vencimentos e Vantagens Fixas - Pessoal Militar";"120000,00";"120000,00";"120000,00";"0,00";"0,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"21GZ";"ORGANIZACAO E REALIZACAO DA 30. CONFERENCIA DAS NACOES UNIDAS SOBRE MUDANCAS CLIMATICAS - COP 30";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"41";"Contribuições";"20300000,00";"20300000,00";"20300000,00";"20300000,00";"100,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"126";"Tecnologia da informação";"4102";"SEGURANCA INSTITUCIONAL";"21AP";"SEGURANCA DA INFORMACAO E CIBERSEGURANCA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"-9000,00";"0,00";"0,00";"0,00";"0,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"1149";"RECONSTRUCAO, AMPLIACAO E APROFUNDAMENTO DA PARTICIPACAO SOC";"216X";"FUNCIONAMENTO DOS CONSELHOS E COMISSOES DA PRESIDENCIA DA REPUBLICA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"93";"Indenizações e Restituições";"676,85";"676,85";"676,85";"676,85";"100,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"131";"Comunicação social";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2017";"COMUNICACAO INSTITUCIONAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"-111695950,00";"45310,00";"0,00";"0,00";"0,00%"
"2025";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"28";"Encargos especiais";"846";"Outros encargos especiais";"0910";"OPERACOES ESPECIAIS: GESTAO DA PARTICIPACAO EM ORGANISMOS E";"00W7";"CONTRIBUICAO A ORGANIZACAO DOS ESTADOS IBERO-AMERICANOS PARA A EDUCACAO, A CIENCIA E A CULTURA (OEI) PARA REALIZACAO DE ATIVIDADES DE PROMOCAO DO DIALOGO E DA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"5400370,00";"5400370,00";"5400370,00";"0,00";"0,00%"
